year,GDP_10,GDP
Mainland China,401513.00,40151300.00
Guangdong,46013.06,4601306.00
Jiangsu,41425.48,4142548.00
Shandong,39169.92,3916992.00
Zhejiang,27722.31,2772231.00
Henan,23092.36,2309236.00
Hebei,20394.26,2039426.00
Liaoning,18457.27,1845727.00
Sichuan,17185.48,1718548.00
Shanghai,17165.98,1716598.00
Hunan,16037.96,1603796.00
Hubei,15967.61,1596761.00
Fujian,14737.12,1473712.00
Beijing,14113.58,1411358.00
Anhui,12359.33,1235933.00
Inner Mongolia,11672.00,1167200.00
Heilongjiang,10368.60,1036860.00
Shaanxi,10123.48,1012348.00
Guangxi,9569.85,956985.00
Jiangxi,9451.26,945126.00
Tianjin,9224.46,922446.00
Shanxi,9200.86,920086.00
Jilin,8667.58,866758.00
Chongqing,7925.58,792558.00
Yunnan,7224.18,722418.00
Xinjiang,5437.47,543747.00
Guizhou,4602.16,460216.00
Gansu,4120.75,412075.00
Hainan,2064.50,206450.00
Ningxia,1689.65,168965.00
Qinghai,1350.43,135043.00
Tibet,507.46,50746.00
