Provinces,GDP,GDP_US,PPPGDP,realgrowth,share of total gdp,
Guangdong,6779224.00,1103605.00,1873128.00,7.80,10.65,
Jiangsu,6508832.00,1059587.00,1798417.00,8.70,10.23,
Shandong,5942659.00,967419.00,1641981.00,8.70,9.34,
Zhejiang,4015350.00,653668.00,1109458.00,7.60,6.31,
Henan,3493938.00,568786.00,965390.00,8.90,5.49,
Hebei,2942115.00,478953.00,812919.00,6.50,4.62,
Liaoning,2862658.00,466018.00,790964.00,5.80,4.50,
Sichuan,2853666.00,464555.00,788480.00,8.50,4.48,
Hubei,2736704.00,445514.00,756163.00,9.70,4.30,
Hunan,2704846.00,440328.00,747360.00,9.50,4.25,
Fujian,2405576.00,391609.00,664671.00,9.90,3.78,
Shanghai,2356094.00,383554.00,650999.00,7.00,3.70,
Beijing,2133083.00,347249.00,589380.00,7.30,3.35,
Anhui,2084875.00,339401.00,576060.00,9.20,3.28,
Inner Mongolia,1776951.00,289274.00,490979.00,7.80,2.79,
Shaanxi,1768994.00,287978.00,488780.00,9.70,2.78,
Tianjin,1572247.00,255950.00,434418.00,10.00,2.47,
Jiangxi,1570859.00,255724.00,434035.00,9.70,2.47,
Guangxi,1567297.00,255144.00,433051.00,8.50,2.46,
Heilongjiang,1503938.00,244829.00,415544.00,5.60,2.36,
Chongqing,1426540.00,232230.00,394159.00,10.90,2.24,
Jilin,1380381.00,224715.00,381405.00,6.50,2.17,
Yunnan,1281459.00,208612.00,354072.00,8.10,2.01,
Shanxi,1275944.00,207714.00,352549.00,4.90,2.00,
Xinjiang,926410.00,150812.00,255971.00,10.00,1.46,
Guizhou,925101.00,150599.00,255609.00,10.80,1.45,
Gansu,683527.00,111273.00,188861.00,8.90,1.07,
Hainan,350072.00,56989.00,96726.00,8.50,0.55,
Ningxia,275210.00,44802.00,76042.00,8.00,0.43,
Qinghai,230112.00,37460.00,63581.00,9.20,0.36,
Tibet,92083.00,14990.00,25443.00,10.80,0.14,
